area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.102,LIPID,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.103,LIPID,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.104,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.105,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.106,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.107,PMLIP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.108,LIPIDS,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.109,LIPIDP,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.116,LIPID,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
lab,DiagnosticReport.code,Lipid panel,ORDER_PROC,PROC_ID,ORDER_PROC.PROC_ID,684,LIPID PANEL,urn:oid:1.2.840.114350.1.13.283.2.7.5.737384.127,LIPDLD,,answer-key,yes,high,Epic-instance OID coding the reference carries on DR.code for PROC_ID 684 (concept-determined; identical across all reports of this order); same anchor as the LOINC/CPT row,epic-instance-oid
